micro_skill_id,parent_skill_id,official_code,main_unit,subunit,skill_name,question_type,focus,item_pattern,common_error,difficulty,generation_status,naming_note
G06-N-COPRIME-01-C1,G06-N-COPRIME-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,互質,概念辨識,理解最大公因數為1的兩數互質；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G06-N-COPRIME-01-P1,G06-N-COPRIME-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,互質,標準程序,理解最大公因數為1的兩數互質；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G06-N-COPRIME-01-R1,G06-N-COPRIME-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,互質,逆向求未知,理解最大公因數為1的兩數互質；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G06-N-COPRIME-01-A1,G06-N-COPRIME-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,互質,情境應用,理解最大公因數為1的兩數互質；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G06-N-COPRIME-01-V1,G06-N-COPRIME-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,互質,表徵轉換,理解最大公因數為1的兩數互質；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G06-N-GCF-01-C1,G06-N-GCF-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,短除法求最大公因數,概念辨識,用共同質因數求兩數最大公因數；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G06-N-GCF-01-P1,G06-N-GCF-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,短除法求最大公因數,標準程序,用共同質因數求兩數最大公因數；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G06-N-GCF-01-R1,G06-N-GCF-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,短除法求最大公因數,逆向求未知,用共同質因數求兩數最大公因數；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G06-N-GCF-01-A1,G06-N-GCF-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,短除法求最大公因數,情境應用,用共同質因數求兩數最大公因數；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G06-N-GCF-01-V1,G06-N-GCF-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,短除法求最大公因數,表徵轉換,用共同質因數求兩數最大公因數；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G06-N-GCF-01-T1,G06-N-GCF-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,短除法求最大公因數,變形進階,用共同質因數求兩數最大公因數；本層重點：改變條件、加入干擾資訊或多步驟推理,多步驟、非直接套式、條件變化,忽略限制條件或中間量,4,可自動生成,MathAI原創語義分類
G06-N-GCF-01-X1,G06-N-GCF-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,短除法求最大公因數,跨單元整合,用共同質因數求兩數最大公因數；本層重點：與前置單元共同解題並檢查合理性,兩個以上技能整合、素養閱讀,單點技能會但無法整合,5,可自動生成,MathAI原創語義分類
G06-N-LCM-01-C1,G06-N-LCM-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,短除法求最小公倍數,概念辨識,以短除法整合共同與獨有質因數；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G06-N-LCM-01-P1,G06-N-LCM-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,短除法求最小公倍數,標準程序,以短除法整合共同與獨有質因數；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G06-N-LCM-01-R1,G06-N-LCM-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,短除法求最小公倍數,逆向求未知,以短除法整合共同與獨有質因數；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G06-N-LCM-01-A1,G06-N-LCM-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,短除法求最小公倍數,情境應用,以短除法整合共同與獨有質因數；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G06-N-LCM-01-V1,G06-N-LCM-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,短除法求最小公倍數,表徵轉換,以短除法整合共同與獨有質因數；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G06-N-LCM-01-T1,G06-N-LCM-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,短除法求最小公倍數,變形進階,以短除法整合共同與獨有質因數；本層重點：改變條件、加入干擾資訊或多步驟推理,多步驟、非直接套式、條件變化,忽略限制條件或中間量,4,可自動生成,MathAI原創語義分類
G06-N-LCM-01-X1,G06-N-LCM-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,短除法求最小公倍數,跨單元整合,以短除法整合共同與獨有質因數；本層重點：與前置單元共同解題並檢查合理性,兩個以上技能整合、素養閱讀,單點技能會但無法整合,5,可自動生成,MathAI原創語義分類
G06-N-GCFLCM-APP-01-C1,G06-N-GCFLCM-APP-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,分組與週期應用,概念辨識,辨認平分型用最大公因數、重合型用最小公倍數；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G06-N-GCFLCM-APP-01-P1,G06-N-GCFLCM-APP-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,分組與週期應用,標準程序,辨認平分型用最大公因數、重合型用最小公倍數；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G06-N-GCFLCM-APP-01-R1,G06-N-GCFLCM-APP-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,分組與週期應用,逆向求未知,辨認平分型用最大公因數、重合型用最小公倍數；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G06-N-GCFLCM-APP-01-A1,G06-N-GCFLCM-APP-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,分組與週期應用,情境應用,辨認平分型用最大公因數、重合型用最小公倍數；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G06-N-GCFLCM-APP-01-V1,G06-N-GCFLCM-APP-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,分組與週期應用,表徵轉換,辨認平分型用最大公因數、重合型用最小公倍數；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G06-N-GCFLCM-APP-01-T1,G06-N-GCFLCM-APP-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,分組與週期應用,變形進階,辨認平分型用最大公因數、重合型用最小公倍數；本層重點：改變條件、加入干擾資訊或多步驟推理,多步驟、非直接套式、條件變化,忽略限制條件或中間量,4,可自動生成,MathAI原創語義分類
G06-N-GCFLCM-APP-01-X1,G06-N-GCFLCM-APP-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,分組與週期應用,跨單元整合,辨認平分型用最大公因數、重合型用最小公倍數；本層重點：與前置單元共同解題並檢查合理性,兩個以上技能整合、素養閱讀,單點技能會但無法整合,5,可自動生成,MathAI原創語義分類
G06-N-FRAC-DIV-01-C1,G06-N-FRAC-DIV-01,N-6-3,分數除法,分數除法概念,整數除以分數,概念辨識,以包含除/平均分理解整數÷分數；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G06-N-FRAC-DIV-01-P1,G06-N-FRAC-DIV-01,N-6-3,分數除法,分數除法概念,整數除以分數,標準程序,以包含除/平均分理解整數÷分數；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G06-N-FRAC-DIV-01-R1,G06-N-FRAC-DIV-01,N-6-3,分數除法,分數除法概念,整數除以分數,逆向求未知,以包含除/平均分理解整數÷分數；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G06-N-FRAC-DIV-01-A1,G06-N-FRAC-DIV-01,N-6-3,分數除法,分數除法概念,整數除以分數,情境應用,以包含除/平均分理解整數÷分數；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G06-N-FRAC-DIV-01-V1,G06-N-FRAC-DIV-01,N-6-3,分數除法,分數除法概念,整數除以分數,表徵轉換,以包含除/平均分理解整數÷分數；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G06-N-FRAC-DIV-01-T1,G06-N-FRAC-DIV-01,N-6-3,分數除法,分數除法概念,整數除以分數,變形進階,以包含除/平均分理解整數÷分數；本層重點：改變條件、加入干擾資訊或多步驟推理,多步驟、非直接套式、條件變化,忽略限制條件或中間量,4,可自動生成,MathAI原創語義分類
G06-N-FRAC-DIV-01-X1,G06-N-FRAC-DIV-01,N-6-3,分數除法,分數除法概念,整數除以分數,跨單元整合,以包含除/平均分理解整數÷分數；本層重點：與前置單元共同解題並檢查合理性,兩個以上技能整合、素養閱讀,單點技能會但無法整合,5,可自動生成,MathAI原創語義分類
G06-N-FRAC-DIV-02-C1,G06-N-FRAC-DIV-02,N-6-3,分數除法,分數除法概念,分數除以分數,概念辨識,理解除以分數等同乘其倒數並保留意義；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G06-N-FRAC-DIV-02-P1,G06-N-FRAC-DIV-02,N-6-3,分數除法,分數除法概念,分數除以分數,標準程序,理解除以分數等同乘其倒數並保留意義；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G06-N-FRAC-DIV-02-R1,G06-N-FRAC-DIV-02,N-6-3,分數除法,分數除法概念,分數除以分數,逆向求未知,理解除以分數等同乘其倒數並保留意義；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G06-N-FRAC-DIV-02-A1,G06-N-FRAC-DIV-02,N-6-3,分數除法,分數除法概念,分數除以分數,情境應用,理解除以分數等同乘其倒數並保留意義；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G06-N-FRAC-DIV-02-V1,G06-N-FRAC-DIV-02,N-6-3,分數除法,分數除法概念,分數除以分數,表徵轉換,理解除以分數等同乘其倒數並保留意義；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G06-N-FRAC-DIV-02-T1,G06-N-FRAC-DIV-02,N-6-3,分數除法,分數除法概念,分數除以分數,變形進階,理解除以分數等同乘其倒數並保留意義；本層重點：改變條件、加入干擾資訊或多步驟推理,多步驟、非直接套式、條件變化,忽略限制條件或中間量,4,可自動生成,MathAI原創語義分類
G06-N-FRAC-DIV-02-X1,G06-N-FRAC-DIV-02,N-6-3,分數除法,分數除法概念,分數除以分數,跨單元整合,理解除以分數等同乘其倒數並保留意義；本層重點：與前置單元共同解題並檢查合理性,兩個以上技能整合、素養閱讀,單點技能會但無法整合,5,可自動生成,MathAI原創語義分類
G06-N-FRAC-DIV-03-C1,G06-N-FRAC-DIV-03,N-6-3,分數除法,分數除法應用,分數除法文字題,概念辨識,辨認單位量、總量與份數關係；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G06-N-FRAC-DIV-03-P1,G06-N-FRAC-DIV-03,N-6-3,分數除法,分數除法應用,分數除法文字題,標準程序,辨認單位量、總量與份數關係；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G06-N-FRAC-DIV-03-R1,G06-N-FRAC-DIV-03,N-6-3,分數除法,分數除法應用,分數除法文字題,逆向求未知,辨認單位量、總量與份數關係；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G06-N-FRAC-DIV-03-A1,G06-N-FRAC-DIV-03,N-6-3,分數除法,分數除法應用,分數除法文字題,情境應用,辨認單位量、總量與份數關係；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G06-N-FRAC-DIV-03-V1,G06-N-FRAC-DIV-03,N-6-3,分數除法,分數除法應用,分數除法文字題,表徵轉換,辨認單位量、總量與份數關係；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G06-N-FRAC-DIV-03-T1,G06-N-FRAC-DIV-03,N-6-3,分數除法,分數除法應用,分數除法文字題,變形進階,辨認單位量、總量與份數關係；本層重點：改變條件、加入干擾資訊或多步驟推理,多步驟、非直接套式、條件變化,忽略限制條件或中間量,4,可自動生成,MathAI原創語義分類
G06-N-FRAC-DIV-03-X1,G06-N-FRAC-DIV-03,N-6-3,分數除法,分數除法應用,分數除法文字題,跨單元整合,辨認單位量、總量與份數關係；本層重點：與前置單元共同解題並檢查合理性,兩個以上技能整合、素養閱讀,單點技能會但無法整合,5,可自動生成,MathAI原創語義分類
G06-N-DEC-DIV-01-C1,G06-N-DEC-DIV-01,N-6-4,小數除法,除數為小數,整數除以小數,概念辨識,將除數化為整數並維持商不變；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G06-N-DEC-DIV-01-P1,G06-N-DEC-DIV-01,N-6-4,小數除法,除數為小數,整數除以小數,標準程序,將除數化為整數並維持商不變；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G06-N-DEC-DIV-01-R1,G06-N-DEC-DIV-01,N-6-4,小數除法,除數為小數,整數除以小數,逆向求未知,將除數化為整數並維持商不變；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G06-N-DEC-DIV-01-A1,G06-N-DEC-DIV-01,N-6-4,小數除法,除數為小數,整數除以小數,情境應用,將除數化為整數並維持商不變；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G06-N-DEC-DIV-01-V1,G06-N-DEC-DIV-01,N-6-4,小數除法,除數為小數,整數除以小數,表徵轉換,將除數化為整數並維持商不變；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G06-N-DEC-DIV-01-T1,G06-N-DEC-DIV-01,N-6-4,小數除法,除數為小數,整數除以小數,變形進階,將除數化為整數並維持商不變；本層重點：改變條件、加入干擾資訊或多步驟推理,多步驟、非直接套式、條件變化,忽略限制條件或中間量,4,可自動生成,MathAI原創語義分類
G06-N-DEC-DIV-01-X1,G06-N-DEC-DIV-01,N-6-4,小數除法,除數為小數,整數除以小數,跨單元整合,將除數化為整數並維持商不變；本層重點：與前置單元共同解題並檢查合理性,兩個以上技能整合、素養閱讀,單點技能會但無法整合,5,可自動生成,MathAI原創語義分類
G06-N-DEC-DIV-02-C1,G06-N-DEC-DIV-02,N-6-4,小數除法,除數為小數,小數除以小數,概念辨識,同步擴大被除數與除數後直式計算；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G06-N-DEC-DIV-02-P1,G06-N-DEC-DIV-02,N-6-4,小數除法,除數為小數,小數除以小數,標準程序,同步擴大被除數與除數後直式計算；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G06-N-DEC-DIV-02-R1,G06-N-DEC-DIV-02,N-6-4,小數除法,除數為小數,小數除以小數,逆向求未知,同步擴大被除數與除數後直式計算；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G06-N-DEC-DIV-02-A1,G06-N-DEC-DIV-02,N-6-4,小數除法,除數為小數,小數除以小數,情境應用,同步擴大被除數與除數後直式計算；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G06-N-DEC-DIV-02-V1,G06-N-DEC-DIV-02,N-6-4,小數除法,除數為小數,小數除以小數,表徵轉換,同步擴大被除數與除數後直式計算；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G06-N-DEC-DIV-02-T1,G06-N-DEC-DIV-02,N-6-4,小數除法,除數為小數,小數除以小數,變形進階,同步擴大被除數與除數後直式計算；本層重點：改變條件、加入干擾資訊或多步驟推理,多步驟、非直接套式、條件變化,忽略限制條件或中間量,4,可自動生成,MathAI原創語義分類
G06-N-DEC-DIV-02-X1,G06-N-DEC-DIV-02,N-6-4,小數除法,除數為小數,小數除以小數,跨單元整合,同步擴大被除數與除數後直式計算；本層重點：與前置單元共同解題並檢查合理性,兩個以上技能整合、素養閱讀,單點技能會但無法整合,5,可自動生成,MathAI原創語義分類
G06-N-DEC-DIV-03-C1,G06-N-DEC-DIV-03,N-6-4,小數除法,商與概數,小數除法取概數,概念辨識,依題意將商取到指定數位並判斷合理性；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G06-N-DEC-DIV-03-P1,G06-N-DEC-DIV-03,N-6-4,小數除法,商與概數,小數除法取概數,標準程序,依題意將商取到指定數位並判斷合理性；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G06-N-DEC-DIV-03-R1,G06-N-DEC-DIV-03,N-6-4,小數除法,商與概數,小數除法取概數,逆向求未知,依題意將商取到指定數位並判斷合理性；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G06-N-DEC-DIV-03-A1,G06-N-DEC-DIV-03,N-6-4,小數除法,商與概數,小數除法取概數,情境應用,依題意將商取到指定數位並判斷合理性；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G06-N-DEC-DIV-03-V1,G06-N-DEC-DIV-03,N-6-4,小數除法,商與概數,小數除法取概數,表徵轉換,依題意將商取到指定數位並判斷合理性；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G06-N-DEC-DIV-03-T1,G06-N-DEC-DIV-03,N-6-4,小數除法,商與概數,小數除法取概數,變形進階,依題意將商取到指定數位並判斷合理性；本層重點：改變條件、加入干擾資訊或多步驟推理,多步驟、非直接套式、條件變化,忽略限制條件或中間量,4,可自動生成,MathAI原創語義分類
G06-N-DEC-DIV-03-X1,G06-N-DEC-DIV-03,N-6-4,小數除法,商與概數,小數除法取概數,跨單元整合,依題意將商取到指定數位並判斷合理性；本層重點：與前置單元共同解題並檢查合理性,兩個以上技能整合、素養閱讀,單點技能會但無法整合,5,可自動生成,MathAI原創語義分類
G06-R-MIXED-01-C1,G06-R-MIXED-01,N-6-5 / R-6-1,四則與規律,數系混合計算,小數四則混合,概念辨識,熟練小數四則運算順序與括號；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G06-R-MIXED-01-P1,G06-R-MIXED-01,N-6-5 / R-6-1,四則與規律,數系混合計算,小數四則混合,標準程序,熟練小數四則運算順序與括號；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
