skill_id,official_code,mathai_main_unit,mathai_subunit,skill_name,focus,question_types,common_errors,prerequisite,next_skill,difficulty
G05-N-AREAUNIT-01,N-5-12,量與單位,生活大單位,大面積單位換算,公畝、公頃、平方公里與平方公尺的關係,土地面積；單位選擇；跨單位換算,平方單位換算仍只乘10/100,G05-S-AREA-TRAP-01,G06-S-MAPSCALE-01,3
G05-N-MASSUNIT-01,N-5-13,量與單位,生活大單位,公噸與公斤,大重量單位的量感、化聚與計算,貨運重量；加減乘；單位選擇,1000關係方向錯,G03-N-KG-CONV-01,G06-N-RATIO-02,2
G05-S-SOLID-01,S-5-7,立體幾何,柱體錐體與球,立體形體分類,依底面、側面、頂點辨識角柱角錐圓柱圓錐球,分類；構成要素；名稱判斷,把底面形狀與側面混淆,G04-N-CM3-COUNT-01,G05-S-FACE-01,2
G05-S-FACE-01,S-5-6,立體幾何,柱體錐體與球,面與面的平行垂直,在長方體正方體中判斷相對面、相鄰面關係,空間想像；平行垂直；展開圖,以圖面視覺角度代替空間關係,G05-S-SOLID-01,G06-S-PRISM-VOL-01,3
G05-S-VOLUME-01,S-5-5,體積與表面積,長方體與正方體,體積公式,長×寬×高與正方體邊長三次乘積,求體積；反求邊長；單位立方塊,把表面積公式拿來算體積,G04-N-CM3-COUNT-01,G05-N-VOLUNIT-01,3
G05-N-VOLUNIT-01,N-5-14,體積與表面積,長方體與正方體,立方公尺,建立1立方公尺量感並做體積單位換算,空間尺度；m³/cm³換算；情境選單位,線性換算誤用到立方單位,G05-S-VOLUME-01,G05-N-CAPACITY-01,4
G05-S-SURFACE-01,S-5-5,體積與表面積,長方體與正方體,表面積,由六個面計算長方體/正方體表面積及複合情境,展開圖；塗色面；缺面/黏合面,重複計算黏合面,G05-S-SOLID-01,G06-S-PRISM-VOL-01,4
G05-N-CAPACITY-01,N-5-15,體積與表面積,容積與容量,容積容量關係,理解1mL=1cm³、1L=1000cm³並解容器問題,裝水量；空隙；單位互換,把外部體積當內部容積,G05-N-VOLUNIT-01,G06-S-PRISM-VOL-01,4
G05-N-DISPLACE-01,N-5-15,體積與表面積,容積與容量,排水法求不規則體積,以液面上升量推得浸入物體體積,量筒；水位差；多物體,用最終水量當物體體積,G05-N-CAPACITY-01,G06-S-PRISM-VOL-01,4
G05-R-MULTISTEP-01,N-5-2 / R-5-1,運算與關係,多步驟解題,三步驟併式,解析情境、決定運算順序並用單一算式表示,購物；平均；分組；逆向條件,只逐句算未理解數量關係,G04-R-BRACKET-01,G05-R-LAW-01,4
G05-R-LAW-01,R-5-2,運算與關係,四則規律,分配律與簡化計算,辨認共同因數並運用乘法分配律簡算,湊整；拆數；心算；等值改寫,只對一項分配；符號錯誤,G05-R-MULTISTEP-01,G07-A-SYMBOL-01,4
G05-R-SYMBOL-01,R-5-3,運算與關係,符號與公式,用符號表示量,以□、x等符號表示未知量或公式中的量,公式代入；未知量；文字轉式,把符號當單位或固定字母值,G05-R-LAW-01,G07-A-LINEQ-MEAN-01,3
G05-D-LINE-01,D-5-1,資料,折線圖,讀取折線圖,判讀趨勢、最大最小與變化量,讀值；比較增減；跨時點推論,看錯刻度；把斜率當實際值,G04-D-BAR-01,G05-D-LINE-02,2
G05-D-LINE-02,D-5-1,資料,折線圖,製作折線圖,選擇合理尺度、標題、座標與連線呈現資料,製圖；補圖；錯誤圖表診斷,刻度不等距；資料順序錯,G05-D-LINE-01,G06-D-PIE-01,3
