normalized_name,items,decision
正弦函數週期,TECH_A_G10:G10TA-SIN-PERIOD-01:正弦函數週期 | TECH_B_G10:G10TB-SIN-PERIOD-01:正弦函數週期,KEEP_SEPARATE_BY_TRACK
餘弦函數週期,TECH_A_G10:G10TA-COS-PERIOD-01:餘弦函數週期 | TECH_B_G10:G10TB-COS-PERIOD-01:餘弦函數週期,KEEP_SEPARATE_BY_TRACK
圓一般式,TECH_A_G10:G10TA-CIRCLE-GEN-01:圓一般式 | TECH_B_G10:G10TB-CIRCLE-GEN-01:圓一般式,KEEP_SEPARATE_BY_TRACK
直線與圓相交相切相離,TECH_A_G10:G10TA-LINECIRCLE-01:直線與圓相交相切相離 | TECH_B_G10:G10TB-LINECIRCLE-01:直線與圓相交相切相離,KEEP_SEPARATE_BY_TRACK
切點切線,TECH_A_G10:G10TA-TANGENT-ATPOINT-01:切點切線 | TECH_B_G10:G10TB-TANGENT-ATPOINT-01:切點切線,KEEP_SEPARATE_BY_TRACK
等差一般項,TECH_A_G10:G10TA-ARITH-01:等差一般項 | TECH_B_G10:G10TB-ARITH-01:等差一般項,KEEP_SEPARATE_BY_TRACK
等差級數和,TECH_A_G10:G10TA-ARITHSUM-01:等差級數和 | TECH_B_G10:G10TB-ARITHSUM-01:等差級數和,KEEP_SEPARATE_BY_TRACK
等比一般項,TECH_A_G10:G10TA-GEO-01:等比一般項 | TECH_B_G10:G10TB-GEO-01:等比一般項,KEEP_SEPARATE_BY_TRACK
有限等比級數和,TECH_A_G10:G10TA-GEOSUM-01:有限等比級數和 | TECH_B_G10:G10TB-GEOSUM-01:有限等比級數和,KEEP_SEPARATE_BY_TRACK
簡單遞迴,TECH_A_G10:G10TA-REC-01:簡單遞迴 | TECH_B_G10:G10TB-REC-01:簡單遞迴,KEEP_SEPARATE_BY_TRACK
一元二次不等式,TECH_B_G10:G10TB-QUADINEQ-01:一元二次不等式 | TECH_C_G10:G10TC-QUADINEQ-01:一元二次不等式,KEEP_SEPARATE_BY_TRACK
分式運算,TECH_B_G10:G10TB-RATIONAL-01:分式運算 | TECH_C_G10:G10TC-RATIONAL-01:分式運算,KEEP_SEPARATE_BY_TRACK
向量內積,TECH_B_G10:G10TB-DOT-01:向量內積 | TECH_C_G10:G10TC-DOT-01:向量內積,KEEP_SEPARATE_BY_TRACK
